Code	Region	Country	variable	value	region
250	Western Europe	France	1876	4.52106	Western Europe
528	Western Europe	Netherlands	1876	5.43535	Western Europe
756	Western Europe	Switzerland	1876	7.53245	Western Europe
372	Western Europe	Ireland	1876	2.13693	Western Europe
578	Western Europe	Norway	1876	5.4957	Western Europe
752	Western Europe	Sweden	1876	5.72284	Western Europe
826	Western Europe	United Kingdom	1876	1.53251	Western Europe
380	Western Europe	Italy	1876	1.85288	Western Europe
620	Western Europe	Portugal	1876	0.52031	Western Europe
724	Western Europe	Spain	1876	3.73333	Western Europe
348	Eastern Europe	Hungary	1876	2.9099	Eastern Europe
52	Latin America and Caribbean	Barbados	1876	4.36749	#N/A
388	Latin America and Caribbean	Jamaica	1876	1.75235	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1876	1.7188	Latin America and Caribean
340	Latin America and Caribbean	Honduras	1876	0.832409	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1876	0.698307	#N/A
36	Western Offshoots	Australia	1876	2.74177	Western Offshoots
586	South and South-East Asia	Pakistan	1876	0.501178	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1876	0.346417	South and South-East Asia
458	South and South-East Asia	Malaysia	1876	0.227871	South and South-East Asia
104	South and South-East Asia	Myanmar	1876	0.0587521	South and South-East Asia
702	South and South-East Asia	Singapore	1876	0.445042	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1876	0.0377077	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1876	0.531762	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1876	0.944719	Sub-Saharan Africa
40	Western Europe	Austria	1877	3.52195	Western Europe
56	Western Europe	Belgium	1877	4.33562	Western Europe
250	Western Europe	France	1877	4.6205	Western Europe
528	Western Europe	Netherlands	1877	5.58333	Western Europe
756	Western Europe	Switzerland	1877	7.55524	Western Europe
372	Western Europe	Ireland	1877	2.14833	Western Europe
578	Western Europe	Norway	1877	5.50189	Western Europe
752	Western Europe	Sweden	1877	5.80504	Western Europe
826	Western Europe	United Kingdom	1877	1.62109	Western Europe
380	Western Europe	Italy	1877	1.90986	Western Europe
620	Western Europe	Portugal	1877	0.541752	Western Europe
724	Western Europe	Spain	1877	3.80339	Western Europe
348	Eastern Europe	Hungary	1877	2.93197	Eastern Europe
52	Latin America and Caribbean	Barbados	1877	4.86654	#N/A
388	Latin America and Caribbean	Jamaica	1877	1.69592	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1877	1.77945	Latin America and Caribean
340	Latin America and Caribbean	Honduras	1877	0.812837	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1877	0.887745	#N/A
36	Western Offshoots	Australia	1877	3.07758	Western Offshoots
586	South and South-East Asia	Pakistan	1877	0.497901	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1877	0.346404	South and South-East Asia
458	South and South-East Asia	Malaysia	1877	0.222572	South and South-East Asia
104	South and South-East Asia	Myanmar	1877	0.0335635	South and South-East Asia
702	South and South-East Asia	Singapore	1877	0.429192	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1877	0.0385023	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1877	0.552435	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1877	0.9343	Sub-Saharan Africa
40	Western Europe	Austria	1878	3.56371	Western Europe
56	Western Europe	Belgium	1878	4.39052	Western Europe
250	Western Europe	France	1878	4.60169	Western Europe
528	Western Europe	Netherlands	1878	5.71857	Western Europe
756	Western Europe	Switzerland	1878	7.59372	Western Europe
372	Western Europe	Ireland	1878	2.23013	Western Europe
578	Western Europe	Norway	1878	5.48958	Western Europe
752	Western Europe	Sweden	1878	5.90141	Western Europe
826	Western Europe	United Kingdom	1878	1.70497	Western Europe
380	Western Europe	Italy	1878	1.94388	Western Europe
620	Western Europe	Portugal	1878	0.57047	Western Europe
724	Western Europe	Spain	1878	3.88401	Western Europe
348	Eastern Europe	Hungary	1878	2.9507	Eastern Europe
52	Latin America and Caribbean	Barbados	1878	4.53995	#N/A
388	Latin America and Caribbean	Jamaica	1878	1.77223	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1878	1.73741	Latin America and Caribean
